,0
DISCOVERY_DATE,0
DISCOVERY_DOY,0
DISCOVERY_TIME,0
STAT_CAUSE_CODE,0
STAT_CAUSE_DESCR,0
CONT_DATE,0
CONT_DOY,0
CONT_TIME,0
FIRE_SIZE,0
FIRE_SIZE_CLASS,0
LATITUDE,0
LONGITUDE,0
OWNER_CODE,0
OWNER_DESCR,0
STATE,0
DISCOVERY_DATEV,0
CONT_DATEV,0
CONT_HOUR,0
CONT_MIN,0
DISCOVERY_HOUR,0
DISCOVERY_MIN,0
DISCOVERY_YEAR,0
CONT_YEAR,0
DISCOVERY_MONTH,0
CONT_MONTH,0
cluster,0
DURATION_IN_HOURS,0
DURATION_LOG,0
DURATION_CLASS,0
